,問題内容,解答番号,問題①,問題②,問題③,問題④
0,"Azure Active Directory (Azure AD) ユーザーが匿名のIPアドレスを使用してインターネットからAzure ADに接続すると、ユーザーに対してパスワードを変更することを自動的に要求する設定が必要です。

どの機能を使用する必要がありますか。",4,Azure AD Connect Health,AzureADの特権ID管理,Azure Advanced Threat Protection (ATP),Azure AD Identity Protection
1,次のAzureクラウドの利用コストに関する説明のうち正しい内容はどれでしょうか？,1,Azureは資本的支出 (CapEx) を運用費 (OpEx)へと変更する。,同じサイズのAzure仮想マシンを2つ作成した場合、それぞれの仮想マシンの月額利用料金は全く同じとなる。,Azure仮想マシンを停止すれば、仮想マシンに紐づけられたストレージにかかる費用は支払わなくてよい。,Azure サポートにより削除できる未使用リソースを確認することができる。
2,あなたはAzureの仮想マシンを利用してアプリケーションを構築しています。その際のセキュリティ要件として、条件に基づいてAzure Multi-Factor Authentication（MFA）を適用することが必要です。どのAzureサービスを選択する必要がありますか？,3,Azure Monitor,Microsoft Defender for Cloud,Azure Active Directory ID Protection,Azure Advanced Threat Protection (ATP)
3,"次の空欄を埋める選択肢を選んでください。
＿＿＿＿＿＿＿＿はオブジェクトをクラウドインフラストラクチャにデプロイし、Azure環境全体に一貫性を維持するためのコマンドプラットフォームを提供します。",3,Azure Policy,リソースグループ,Azure Resource Manager,管理グループ
4,"あなたは会社のネットワークをAzureに拡張してハイブリッドクラウドを利用する計画をしています。

オンプレミス環境では136.168.103.1のIPアドレスを使用するVPNアプライアンスが利用されており、これをAzure側で識別することが必要です。

そのために最適なソリューションはどれでしょうか？",3,ルートテーブル,アプリケーションゲートウェイ,ローカルネットワークゲートウェイ,ネットワークインターフェース
5,"次の空欄を埋める選択肢を選んでください。
リソースグループ（MyRG01）にAzure仮想ネットワーク（VNET-A）があります。MyRG01に対して仮想ネットワークの作成/更新が許可されないことを指定するAzureポリシーを割り当てると、＿＿＿＿＿＿＿＿",3,VNET-A は自動的に削除されます,VNET-A は別のリソースグループに自動的に移動されます。,VNET-A は正常に機能し続けます,VNET-A は読み取り専用オブジェクトになります
6,あなたの会社ではサーバレスアプリケーションを利用してデータ登録処理を自動化しようとしています。どのAzure サービスを利用するべきでしょうか？,2,Azure App Service,Azure Functions,Azure DevOps,Azure Monitor
7,あなたは複数のWebサーバーと複数のデータベースサーバーをAzureにデプロイしたいと考えています。セキュリティ対策として、Webサーバーからのみデータベースサーバーに接続できるようにトラフィックを制限することが必要です。利用するべきソリューションはどれでしょうか？,4,Azure Service Bus.,Azure DDoS Protection,ルートフィルター,ネットワークセキュリティグループ
8,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。

Azure Storage アカウントに保存されたデータは、２つのコピーを自動的に持つことになる。",2,はい,いいえ,,
9,あなたの会社は複数のリージョンを利用してAzure仮想マシンを展開しています。各オフィスのユーザーは各オフィスの近隣リージョンでのみAzureリソースを作成することが社内で規定されています。こうしたルールが準拠されているかを確認するために最適なソリューションはどれでしょうか？,3,リソースグループ,コンプライナンスポリシー,Azureポリシー,Azureルール
10,複数のAzureサブスクリプションと仮想ネットワークに対してネットワークトラフィックのL3-L7 フィルタリングを提供するサービスはどれでしょうか？,1,Azure Firewall,アプリケーションセキュリティグループ,Azure DDoS protection,ネットワークセキュリティグループ
11,データセンター障害などの影響によるアプリケーションのダウンタイムを抑止するためには、どの展開方式を選択するべきでしょうか？,1,２つの可用性ゾーンでの展開,マルチリージョンでの展開,単一の可用性ゾーンでの展開,マルチサブネットでの展開
12,Azureクラウドにデータを保存する上でのセキュリティ上のメリットは何でしょうか？,2,Azureの担当者がデータを保護することができる。,ユーザーは自身のデータを完全に制御することができる。,Azure側でデータ内容を監視することができる。,ユーザー側でデータセキュリティの対応をしなくても、保護が自動的に実施される。
13,"次の空欄を埋める選択肢を選んでください。

あなたの会社は______________を実装することで、クレジットカード情報を含むMicrosoft Word文書に透かしを自動的に追加することができる。",3,Azure Policy,Azure DDoS Protection,Azure Information Protection,Azure Active Directory Identity Protection
14,あなたはARMテンプレートを利用して複数の仮想マシンを展開したいと考えています。その際にユーザー名やパスワードなどの資格情報をテンプレート外でセキュリティを強固にして保持することが必要です。最適なサービスを１つ選択してください。,1,Azure Key Vault,ボールトロック,ネットワークセキュリティグループ,ユーザーデータ
15,Azure ResourceManagerでRecource1という名前のリソースグループを作成します。Recource1のリソースに対して、削除と上書きが誤って実施されないようにするためには、どの設定が必要でしょうか？,1,Recource1に対して読み取り専用ロックを設定する。,Recource1に対して削除ロックを設定する。,Recource1に対して操作ロックを設定する。,Recource1に対して削除ロックと更新ロックを設定する。
16,"次の説明が真の場合は「はい」を、それ以外の場合は「いいえ」を選択してください。 

Microsoft Defender for Cloudのすべての機能は無料である。",2,はい,いいえ,,
17,AzureでInfrastructureas a Service（IaaS）リソースをプロビジョニングする予定です。IaaSの例となるリソースはどれですか？,2,Azure web apps,Azure virtual machine,Azure Logic Apps,Azure SQL database
18,あなたはAzureサポートリクエストを作成する必要があります。最適なソリューションを２つ選択してください。,オプション１と２が,Azure サポートチケット REST API,Azure Portal,Knowledge Center,セキュリティ&コンプライアンスセンター
